City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,xinyuan,37.3,99.0,8.45,96,100,0.98,CN,1720808281
163,kendari,-3.945,122.4989,22.82,96,98,1.14,ID,1720807749
164,upper grand lagoon,30.1633,-85.7408,35.08,62,0,5.14,US,1720808283
165,palikir - national government center,6.9248,158.1611,26.41,89,100,1.54,FM,1720808285
166,ribeira grande,38.5167,-28.7,25.22,83,40,10.8,PT,1720808287
167,babol,36.5513,52.679,25.04,69,0,1.59,IR,1720808288
168,wajir,1.7471,40.0573,26.69,63,100,9.55,KE,1720808289
169,stanley,54.868,-1.6985,12.77,76,40,3.6,GB,1720808290
170,dunedin,-45.8742,170.5036,4.33,84,9,3.58,NZ,1720808161
171,novoishimskiy,53.1981,66.7694,21.82,58,89,5.41,KZ,1720808293
172,tafresh,34.692,50.013,25.67,29,42,4.49,IR,1720808294
173,horta,38.5333,-28.6333,24.8,85,40,10.8,PT,1720808296
174,guiratinga,-16.3494,-53.7583,33.63,22,8,2.0,BR,1720808297
175,naze,28.3667,129.4833,27.51,84,100,5.04,JP,1720808298
176,clodomira,-27.5744,-64.1311,14.83,27,0,1.41,AR,1720808299
177,cururupu,-1.8283,-44.8683,31.84,43,83,2.48,BR,1720808300
178,owen sound,44.5672,-80.9435,26.21,76,21,0.89,CA,1720808302
179,kourou,5.1552,-52.6478,31.03,84,99,1.93,GF,1720808303
180,loughrea,53.1969,-8.5669,13.82,85,100,3.17,IE,1720808304
181,shendi,16.6915,33.4341,29.33,58,86,11.19,SD,1720808305
182,sagarejo,41.734,45.3315,26.24,44,59,2.31,GE,1720808306
183,svetlyy,54.675,20.1347,20.03,84,76,4.37,RU,1720808307
184,atafu village,-8.5421,-172.5159,28.0,78,52,7.35,TK,1720808309
185,illapel,-31.6308,-71.1653,13.81,38,0,2.37,CL,1720808310
186,aykhal,66.0,111.5,19.28,53,40,3.23,RU,1720808311
187,enriquillo,17.9,-71.2333,32.82,65,100,6.27,DO,1720808312
188,shache,38.4167,77.2406,27.3,27,33,3.95,CN,1720808313
189,howard springs,-12.497,131.047,19.95,76,100,2.18,AU,1720808315
190,badger,64.8,-147.5333,20.0,58,20,2.57,US,1720808316
191,pahrump,36.2083,-115.9839,41.91,8,36,3.58,US,1720808317
192,brisas de zicatela,15.8369,-97.0419,31.29,70,0,3.09,MX,1720808319
193,mugia,43.1041,-9.2179,20.09,78,97,8.67,ES,1720808320
194,itaueira,-7.6033,-43.0256,31.59,37,69,4.92,BR,1720808321
195,lompoc,34.6391,-120.4579,25.47,68,0,4.12,US,1720808322
196,christchurch,-43.5333,172.6333,5.51,88,75,1.54,NZ,1720808323
197,chernushka,56.5072,56.0766,14.86,79,97,7.23,RU,1720808324
198,san antonio de pale,-1.4014,5.6325,22.8,79,61,5.35,GQ,1720808326
199,chui,-33.6971,-53.4616,11.18,59,7,3.09,UY,1720808327
200,bodo,67.28,14.405,13.21,78,75,3.6,NO,1720808329
201,kabinda,-6.1333,24.4833,24.02,28,1,1.57,CD,1720808330
202,zuunmod,47.7069,106.9528,14.57,89,81,0.96,MN,1720808332
203,college,64.8569,-147.8028,20.05,58,20,2.57,US,1720808333
204,lata,40.1629,-8.3327,24.95,49,0,3.74,PT,1720808334
205,saint-lo,49.1162,-1.0903,16.24,82,63,2.22,FR,1720808336
206,puerto colombia,10.9878,-74.9547,32.05,75,73,6.32,CO,1720808337
207,pacific grove,36.6177,-121.9166,24.0,89,0,4.63,US,1720808338
208,axim,4.8699,-2.2405,24.82,85,98,4.67,GH,1720808340
209,turuntayevo,52.2,107.6167,15.05,98,100,1.49,RU,1720808343
210,debila,33.5167,6.95,41.04,13,0,2.06,DZ,1720808345
211,sanya,18.2431,109.505,28.09,94,20,2.0,CN,1720808346
212,velur,12.9333,79.1333,26.51,71,98,8.62,IN,1720808347
213,dampit,-8.2116,112.7493,19.64,97,85,1.1,ID,1720808348
214,arraial do cabo,-22.9661,-42.0278,22.98,88,75,5.66,BR,1720808349
215,beloyarskiy,63.7119,66.6722,12.48,83,100,3.05,RU,1720808350
216,rio grande,-32.035,-52.0986,13.06,63,8,5.44,BR,1720808158
217,nar'yan-mar,67.6713,53.087,11.8,66,100,0.88,RU,1720808353
218,boke,10.9409,-14.2967,26.01,90,100,2.36,GN,1720808354
219,saipan,15.1355,145.701,28.39,83,0,4.12,MP,1720808355
220,sandnessjoen,66.0217,12.6316,14.29,82,75,2.06,NO,1720808356
221,thinadhoo,0.5333,72.9333,29.09,74,23,5.15,MV,1720808357
222,kabare,-2.4683,28.8242,17.42,59,48,0.21,CD,1720808359
223,fort st. john,56.2499,-120.8529,17.94,52,75,1.54,CA,1720808360
224,vadso,70.0744,29.7487,15.09,77,75,3.6,NO,1720808361
225,konkwesso,10.8469,4.0984,27.41,69,84,2.64,NG,1720808362
226,hami,42.8,93.45,25.12,40,86,1.87,CN,1720808363
227,shiyan,32.6475,110.7781,23.9,94,78,0.6,CN,1720808364
228,viedma,-40.8135,-62.9967,11.43,32,0,6.54,AR,1720807954
229,forster,-32.1667,152.5167,11.27,84,45,5.54,AU,1720808367
